"Price","District","City","Type","EnergyCertificate","Parking","ConstructionYear","TotalArea","Elevator","TotalRooms","LivingArea","NumberOfBathrooms","lat","long"
295500,"Faro","Portimão","Apartment","A",1,2023,62,"True",2,62,1,37.0162727,-7.9351771
172500,"Faro","Albufeira","Apartment","C",1,1983,68,"True",1,68,2,37.0162727,-7.9351771
385000,"Faro","Tavira","Apartment","A",2,2022,106,"True",2,106,2,37.0162727,-7.9351771
335000,"Faro","Tavira","Apartment","A",1,2022,85,"True",2,85,2,37.0162727,-7.9351771
390000,"Faro","Tavira","Apartment","A",2,2023,121,"True",2,80,2,37.0162727,-7.9351771
210000,"Faro","Portimão","Apartment","D",0,1999,85,"False",2,85,1,37.0162727,-7.9351771
280000,"Faro","Albufeira","House","C",1,2004,123,"False",4,123,2,37.0162727,-7.9351771
390000,"Faro","Tavira","Apartment","A",2,2023,121,"True",2,80,2,37.0162727,-7.9351771
235000,"Faro","Olhão","Apartment","D",0,2019,78,"False",1,78,1,37.0162727,-7.9351771
169000,"Faro","Faro","Apartment","C",0,1983,37,"False",1,31,1,37.0162727,-7.9351771
1200000,"Faro","Albufeira","Apartment","B-",3,2008,115,"True",2,93,2,37.0162727,-7.9351771
445000,"Faro","Albufeira","Apartment","D",0,1989,124,"False",2,92,1,37.0162727,-7.9351771
383000,"Faro","Faro","Apartment","A+",1,2023,95,"True",2,95,1,37.0162727,-7.9351771
415000,"Faro","Loulé","Apartment","A",1,2023,68,"True",1,60,1,37.0162727,-7.9351771
610000,"Faro","Olhão","Apartment","B",0,2010,172,"True",3,130,3,37.0162727,-7.9351771
382000,"Faro","Faro","Apartment","A+",1,2023,104,"True",2,104,1,37.0162727,-7.9351771
369000,"Faro","Faro","Apartment","A+",1,2023,90,"True",2,90,1,37.0162727,-7.9351771
220000,"Faro","Olhão","Apartment","D",0,2002,165,"False",3,160,2,37.0162727,-7.9351771
386000,"Faro","Faro","Apartment","A+",1,2023,90,"True",2,90,1,37.0162727,-7.9351771
703000,"Faro","Loulé","Apartment","A",1,2023,146,"True",2,99,3,37.0162727,-7.9351771
386000,"Faro","Faro","Apartment","A+",1,2023,106,"True",2,106,1,37.0162727,-7.9351771
378000,"Faro","Faro","Apartment","A+",1,2023,90,"True",2,90,1,37.0162727,-7.9351771
6e+05,"Faro","Loulé","Apartment","D",1,1993,117,"True",2,96,2,37.0162727,-7.9351771
245000,"Faro","Loulé","Apartment","E",1,1975,47,"False",1,47,1,37.0162727,-7.9351771
347000,"Faro","Tavira","Apartment","C",1,2023,123,"True",3,101,2,37.0162727,-7.9351771
250000,"Faro","Albufeira","Apartment","D",1,2007,55,"True",1,48,1,37.0162727,-7.9351771
296000,"Faro","Tavira","House","E",0,1981,85,"False",3,85,2,37.0162727,-7.9351771
109500,"Faro","Faro","House","No Certificate",0,1951,64,"False",1,42,1,37.0162727,-7.9351771
313375,"Faro","Olhão","Apartment","No Certificate",1,2022,102,"True",2,102,2,37.0162727,-7.9351771
278717,"Faro","Olhão","Apartment","No Certificate",1,2022,85,"True",2,85,2,37.0162727,-7.9351771
298509,"Faro","Olhão","Apartment","No Certificate",1,2022,103,"True",2,103,2,37.0162727,-7.9351771
360000,"Faro","Loulé","Apartment","D",1,2004,129,"False",2,129,2,37.0162727,-7.9351771
416576,"Faro","Olhão","Apartment","No Certificate",1,2022,137,"True",3,137,2,37.0162727,-7.9351771
314060,"Faro","Olhão","Apartment","No Certificate",1,2022,92,"True",2,92,2,37.0162727,-7.9351771
392543,"Faro","Olhão","Apartment","No Certificate",1,2022,131,"True",3,131,2,37.0162727,-7.9351771
419404,"Faro","Olhão","Apartment","No Certificate",1,2022,137,"True",3,137,2,37.0162727,-7.9351771
393957,"Faro","Olhão","Apartment","No Certificate",1,2022,129,"True",3,129,2,37.0162727,-7.9351771
314060,"Faro","Olhão","Apartment","No Certificate",1,2022,92,"True",2,92,2,37.0162727,-7.9351771
289739,"Faro","Olhão","Apartment","No Certificate",1,2022,70,"True",1,70,1,37.0162727,-7.9351771
241960,"Faro","Olhão","Apartment","No Certificate",1,2022,65,"True",1,65,1,37.0162727,-7.9351771
